[W 240807 09:43:56 smartWebSocketV2:319] Attempting to resubscribe/reconnect (Attempt 1)...
[E 240807 09:44:10 smartwebsocketexamplev2:53] Connection closed
[W 240807 09:44:10 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[E 240807 09:44:10 smartwebsocketexamplev2:53] Connection closed
[W 240807 09:44:10 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[E 240807 09:44:10 smartwebsocketexamplev2:53] Connection closed
[W 240807 09:44:10 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[W 240807 09:46:03 smartWebSocketV2:319] Attempting to resubscribe/reconnect (Attempt 1)...
[E 240807 09:46:13 smartwebsocketexamplev2:53] Connection closed
[W 240807 09:46:13 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[E 240807 09:46:13 smartwebsocketexamplev2:53] Connection closed
[W 240807 09:46:13 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[E 240807 09:46:13 smartwebsocketexamplev2:53] Connection closed
[I 240807 12:04:12 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9102901, 'exchange_timestamp': 1723012452000, 'last_traded_price': 4994915, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:12 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9103017, 'exchange_timestamp': 1723012453000, 'last_traded_price': 4994495, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:13 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9103195, 'exchange_timestamp': 1723012453000, 'last_traded_price': 4994495, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:13 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9103335, 'exchange_timestamp': 1723012453000, 'last_traded_price': 4994495, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:13 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9103365, 'exchange_timestamp': 1723012453000, 'last_traded_price': 4994495, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:13 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9103377, 'exchange_timestamp': 1723012453000, 'last_traded_price': 4994495, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:13 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9103379, 'exchange_timestamp': 1723012453000, 'last_traded_price': 4994495, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:13 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9103382, 'exchange_timestamp': 1723012453000, 'last_traded_price': 4994495, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:13 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9103600, 'exchange_timestamp': 1723012453000, 'last_traded_price': 4994820, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:13 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9103965, 'exchange_timestamp': 1723012454000, 'last_traded_price': 4994590, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:14 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9104319, 'exchange_timestamp': 1723012454000, 'last_traded_price': 4994715, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:15 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9104695, 'exchange_timestamp': 1723012455000, 'last_traded_price': 4994615, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:15 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9105052, 'exchange_timestamp': 1723012455000, 'last_traded_price': 4994330, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:15 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9105448, 'exchange_timestamp': 1723012455000, 'last_traded_price': 4994330, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:15 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9105554, 'exchange_timestamp': 1723012455000, 'last_traded_price': 4994330, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:15 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9105597, 'exchange_timestamp': 1723012455000, 'last_traded_price': 4994330, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:15 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9105599, 'exchange_timestamp': 1723012455000, 'last_traded_price': 4994330, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:15 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9105601, 'exchange_timestamp': 1723012455000, 'last_traded_price': 4994330, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:15 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9105604, 'exchange_timestamp': 1723012455000, 'last_traded_price': 4994330, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:15 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9105660, 'exchange_timestamp': 1723012456000, 'last_traded_price': 4993800, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:16 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9106014, 'exchange_timestamp': 1723012456000, 'last_traded_price': 4994585, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:16 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9106358, 'exchange_timestamp': 1723012457000, 'last_traded_price': 4994145, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:17 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9106741, 'exchange_timestamp': 1723012457000, 'last_traded_price': 4993975, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:17 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9107116, 'exchange_timestamp': 1723012458000, 'last_traded_price': 4993865, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:18 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9107336, 'exchange_timestamp': 1723012458000, 'last_traded_price': 4993865, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:18 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9107471, 'exchange_timestamp': 1723012458000, 'last_traded_price': 4993865, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:18 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9107473, 'exchange_timestamp': 1723012458000, 'last_traded_price': 4993865, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:18 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9107475, 'exchange_timestamp': 1723012458000, 'last_traded_price': 4993865, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:18 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9107481, 'exchange_timestamp': 1723012458000, 'last_traded_price': 4993865, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:18 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9107484, 'exchange_timestamp': 1723012458000, 'last_traded_price': 4993865, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:18 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9107698, 'exchange_timestamp': 1723012458000, 'last_traded_price': 4994495, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:18 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9108058, 'exchange_timestamp': 1723012459000, 'last_traded_price': 4993965, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:19 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9108403, 'exchange_timestamp': 1723012459000, 'last_traded_price': 4994210, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:19 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9108784, 'exchange_timestamp': 1723012460000, 'last_traded_price': 4993740, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:20 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9109149, 'exchange_timestamp': 1723012460000, 'last_traded_price': 4993895, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:20 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9109340, 'exchange_timestamp': 1723012460000, 'last_traded_price': 4993895, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:20 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9109372, 'exchange_timestamp': 1723012460000, 'last_traded_price': 4993895, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:20 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9109383, 'exchange_timestamp': 1723012460000, 'last_traded_price': 4993895, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:20 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9109461, 'exchange_timestamp': 1723012460000, 'last_traded_price': 4993895, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:20 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9109466, 'exchange_timestamp': 1723012460000, 'last_traded_price': 4993895, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:20 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9109469, 'exchange_timestamp': 1723012460000, 'last_traded_price': 4993895, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:20 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9109755, 'exchange_timestamp': 1723012461000, 'last_traded_price': 4994520, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:21 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9110111, 'exchange_timestamp': 1723012461000, 'last_traded_price': 4994680, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:21 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9110446, 'exchange_timestamp': 1723012462000, 'last_traded_price': 4994155, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:22 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9110809, 'exchange_timestamp': 1723012462000, 'last_traded_price': 4994685, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:22 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9111256, 'exchange_timestamp': 1723012462000, 'last_traded_price': 4994685, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:22 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9111300, 'exchange_timestamp': 1723012462000, 'last_traded_price': 4994685, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:22 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9111370, 'exchange_timestamp': 1723012462000, 'last_traded_price': 4994685, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:22 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9111376, 'exchange_timestamp': 1723012462000, 'last_traded_price': 4994685, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:22 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9111379, 'exchange_timestamp': 1723012462000, 'last_traded_price': 4994685, 'subscription_mode_val': 'LTP'}
[I 240807 12:04:22 smartwebsocketexamplev2:43] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9111381, 'exchange_timestamp': 1723012462000, 'last_traded_price': 4994685, 'subscription_mode_val': 'LTP'}
